GUID,Frame Number,Anomaly Score,Anomaly Status
c6ba2cd2-58a0-44f4-9b75-993b4399c675,0,0.0066500655,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,1,0.00604692,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,2,0.006350515,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,3,0.0065888427,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,4,0.006226597,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,5,0.005975405,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,6,0.006283081,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,7,0.0065620467,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,8,0.0060883537,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,9,0.006114376,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,10,0.0063634682,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,11,0.006597993,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,12,0.006072647,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,13,0.0058510816,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,14,0.005961705,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,15,0.006192508,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,16,0.006235812,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,17,0.0060244687,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,18,0.0062130205,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,19,0.006271622,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,20,0.0059997784,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,21,0.0059707453,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,22,0.005843454,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,23,0.0059033213,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,24,0.0059157084,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,25,0.006012281,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,26,0.0057337545,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,27,0.0056688604,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,28,0.006173766,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,29,0.0061458526,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,30,0.0059072115,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,31,0.0061739367,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,32,0.006193554,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,33,0.005757005,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,34,0.005911448,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,35,0.006144557,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,36,0.0058298,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,37,0.0060714856,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,38,0.006355915,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,39,0.006066215,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,40,0.0064408286,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,41,0.0065731527,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,42,0.0062307175,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,43,0.0063751983,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,44,0.0059860917,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,45,0.0061394526,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,46,0.005976567,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,47,0.0060932883,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,48,0.0065657375,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,49,0.0062490976,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,50,0.0060442714,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,51,0.006133902,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,52,0.005851591,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,53,0.006041932,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,54,0.005844408,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,55,0.0060878405,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,56,0.0056949947,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,57,0.0059856707,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,58,0.0056907423,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,59,0.005815574,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,60,0.0056880945,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,61,0.005460407,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,62,0.005675785,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,63,0.0058948738,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,64,0.0056146397,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,65,0.0058412864,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,66,0.005764094,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,67,0.005661092,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,68,0.0057919044,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,69,0.005710531,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,70,0.0056760916,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,71,0.0059117107,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,72,0.0057624457,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,73,0.0057957084,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,74,0.0060356082,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,75,0.005817935,Normal
c6ba2cd2-58a0-44f4-9b75-993b4399c675,76,0.00582664,Normal
